PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y, Q (m s.l.m.),NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03
CO,CAPIAGO INTIMIANO-Az.Colline Com.-pozzo Guastone 1,15 (22),Via Roma,1510495,5068940,420,,X,2,,,,,,,,,,416.9,,418.8,418.8,,419.35,419.28,418.95,419.55,419.35,418.83,419,419.27,,,,419.82,419.62,418.28,
CR,CAPPELLA DE' PICENARDI,19014.0001,via Cavour,1596934,5001321,42,,X,3,,,,,,,,,,,,,,,,34.76,,,,,,,,,,,,,
BG,CARAVAGGIO - Amministrazione Comunale,160530002,via Zelioli,1550077,5039136,114.6,,,,,,,,,109.71,109.91,110.6,111.29,111.01,110.6,110.09,109.79,109.15,109.14,108.75,,109.17,109.3,110.53,110.94,110.62,,,,109.85,109.51,109.03,109.05
CO,CARBONATE -Acqua Serpio spa,1,via Giovanni XXIII,,,186,,,,,,,,,,,,,,224.1,223.9,224,,,,,,,,,,,,,,,,
CO,CARIMATE - Canturina Servizi spa - pozzo 2,9(12),Valle Serenza,1508600,5060822,244,,x,2,,,,,,,209.2,,,214.05,208.5,208.2,207.82,,,,,206.68,205.85,,206.75,,,,,210.2,209.95,209.75,
MI - MONZA,CARNATE - CAP,154900021,Grandi nuovo,1529290,5054175,215.226,,X,2,,,,,,,,,,,,,,170.03,170.53,170.23,,170.93,,,169.73,170.03,,,,170.23,170.03,169.23,
MI - MONZA,CARNATE- CAP,154900019,Grandi x Usmate,1529290,5054175,215.226,,X,3,,,,,,,,,,,,,,193.53,189.93,189.73,,190.53,,,190.43,190.93,,,,191.03,191.23,190.83,
VA,CARONNO P.,PO1203400600T0,via della Vittoria,1503390,5049745,192.5,,X,MISTA,,,,,,169.7,,170.17,170.42,170.53,170.38,170.3,170.27,170.02,170.1,169.8,169.88,170.16,170.3,170.3,170.9,171.23,,,,172.46,172.3,,
BS,CARPENEDOLO - ARPA,9,P. LAMETTA VIA ERCOLIANI,1612731,5025701,80.3,,,,,,,,,,77.92,,78.83,,,,,,,,,,,,,,,,,,,,
VA,CASALE LITTA,PO1203600300T0,Firello - Villa Dosia,1479360,5065190,280.72,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,267.42,267.27,267.57,267.59,269.62,269.15,268.9,269.16,270.06,,,,271.32,270.66,,
CR,CASALETTO VAPRIO,19020.0001,via Don Gnocchi,1549003,5028336,86,,X,3,,,,,,,,,,,84.22,84.12,84.06,83.96,83.99,83.82,83.77,84.12,84.1,,,,,,,84,83.81,83.68,
CR,CASALMAGGIORE 8,19021.0008,Vicomoscano,1613736.375,4981155.5,26,,X,2,,,,,,,,,,,20.21,20.37,20.43,,,20.53,,,,,,,,,,,,,
MN,CASALROMANO,23,via del Dosso 18 - Fontanella Grazioli,1604660,5005280,37.90000153,,,2,,,,,,,31.59,29.1,32.5,30.67,31.05,31.29,31.4,31.4,,31.35,31.35,,29.7,,30.7,29.9,,,,31.97,31.75,31.6,
MN,CASALROMANO,25,Gerelli Irene,1607280,5005820,37.8,,,2,,,,,,,33.39,31.6,29.5,33.06,33.52,33.58,33.72,34,,,,,,,,33.8,,,,34.38,34.2,34.07,
MN,CASALROMANO,24,via IV Novembre (vicino al pensile),1607830,5006280,37.70000076,,X,3,,,,,,,31.88,30.4,31.9,29.99,32.07,32.98,30.83,32.7,,33.3,32.87,,31.9,,32,32.9,,,,32.22,32.7,,
LC,CASATENOVO,PI097016101,MAGGIONI (EX PIRROTTA),1524964,5058591,294.1,,X,2,,,,,,,248.99,249.51,248.28,248.78,248.71,248.68,248.3,247.32,248.6,249.2,248.82,250.28,250.73,250.23,250.81,251.55,,,,253.03,252.22,250.38,248.97
PV,CASEI GEROLA 2,21,St. per Castelnuovo ,1494095,4983105,80.9,,X,1,,,,,,,,,73.21,73.02,73,72.9,72.9,72.85,73,73.1,73.19,73.57,72.97,72.62,72.62,72.48,,,,74.8,74.5,,
MI - Città,CASSANO D'ADDA,150590001,Muzza I-5 Martiri,1540544,5041200,116.7,,,1,,,,,,112.39,112.59,113.09,113.29,113.19,112.09,,,113.7,111.3,111.7,111.1,112.5,112.5,,112.8,112.3,,,,108.69,108.89,108.49,
PV,CASSOLNOVO 4,41,via Tornura (pozzo vecchio),1484810,5023820,121,,X,2,,,,,,,,,108.38,107.88,107.44,106.83,106.8,106.7,106.83,106.66,106.92,107.69,107.8,108.34,108.42,107.95,,,,106.93,106.62,,
MN,CASTEL D'ARIO,26,v.le delle Industrie - Roppi,1655200,5005160,21,,,3,,,,,,,19.7,19.2,18.35,19.5,19.21,19.87,18.92,19.45,,18.6,18.65,,18.75,19.1,,18.8,,,,18.96,18.74,19.6,
MN,CASTEL D'ARIO,27,v.le delle Industrie - Roppi,1655220,5005120,21,,,2,,,,,,,12,18.6,18.8,18.7,18.87,19.48,19.18,18.55,,19.9,19.8,,19.6,19,,20,,,,19,19.68,19.8,
MN,CASTELLUCCHIO,31,vai Matteotti 23,1629710,5000790,27.79999924,,X,3,,,,,,,,26.4,26.45,26.34,26.49,26.78,25.49,26.6,,26.7,26.7,,26.6,26.4,,26.55,,,,27.1,26.9,26.85,
MN,CASTIGLIONE DELLE STIVIERE,34,CASTIGLIONE S.C.R.L.,1615700,5026120,82.3,,,,,,,,,,77.4,76.6,77.2,77.7,76.75,78.76,78.77,,,,,,,,,,,,,,,,
BS,CASTREZZATO - COGEME,10,via F.lli Cervi,1576452,5040679,129.5,,X,2,,,,,,,114.78,,,,,,,,,111.88,111.37,111.94,113.28,114.99,116.41,,,,,113.62,112.83,112.42,112.21
LO,CAVENAGO ADDA,980170064,Soltarico,1544810,5014760,73,,,,,,,,,60.4,60.5,60.2,,60,,,,,,,,,,,,,,,,,,,
LO,CAVENAGO ADDA - CAP             ,980170003,via Valsecchi serb.,1547241,5014694,70.73,,X,1,,,,,,,,,,,,,,57.33,57.23,56.93,,,,,58.13,58.33,,,,58.73,58.73,58.53,
MN,CAVRIANA,37,Bassignani Cave s.n.c.,1625500,5020470,61.2,,,1,,,,,,,46.77,47,46.4,48.98,46.69,47.83,47.47,46.95,,,,,,,,47.7,,,,47.7,47.1,46.6,
MN,CAVRIANA,35,via Tezze 8pozzo 1),1625630,5021740,77,,X,2,,,,,,,54.02,52,53.5,57.24,55.13,56.18,56.07,43.68,,,54.5,,,,,55.52,,,,16.95,17.2,,
MN,CAVRIANA,36,TURATI ALESSANDRO,1625900,5025260,122,,,,,,,,,,,106,,106.42,106.58,106.52,104.83,,,,,,,,,,,,,56.82,56.49,,
BS,CAZZAGO SAN MARTINO - COGEME,11,CALINO NUOVO,1580306,5049766,195,,,,,,,,,,112.84,,,,,,,,,,,,,,,,,,,,,,
BS,CAZZAGO SAN MARTINO - COGEME,48,Valle Bornato,1580570,5049919,196.65,,X,,,,,,,,,,,,,,,,,114.93,114.34,114.33,114.46,115.39,116.8,,,,,117.96,117.05,116.68,116.3
PV,CERGNAGO 1,55,,1482375,5004830,102,,,,,,,,,,,,100.21,99.89,99.71,99.5,99.45,,,,,,,,,,,,,,,,
CO,CERMENATE - Cons. Lura ambiente - pozzo 2,18(2bis),via Petrarca,1506475,5061530,305,,X, 2/3,,,,,,,,,,216.8,217,,,,216.6,,216.6,216.8,216.7,,,,,,,220.5,220.5,220.4,220.5
CO,CERMENATE - Consorzio Lura Ambiente spa,11,Via I Maggio,1505880,5060468,285,,,,,,,,,,,,,200.1,199.6,,,,,,,,,,,,,,,,,,
LC,CERNUSCO LOMBARDONE,PC097020003,VILLA,1530522,5059523,248,,X,2,,,,,,,,,229.29,228.48,227.69,226.99,226.17,224.85,226.87,230.6,229.55,231.79,232.51,232.15,232.48,234.18,,,,241.37,238.1,234.94,231.35
PV,CERVESINA 1,16,,1501295,4989950,70.7,,X,2,,,,,,,,,62.59,62.47,62.67,62.35,62.27,62.17,62.19,62.19,62.18,62.51,62.31,62.27,62.32,62.27,,,,63.07,62.93,,
LO,CERVIGNANO A. - CAP               ,980180001,p.zza Caduti,1533303,5024632,81.68,,X,1,,,,,,75.88,76.18,76.88,,76.58,,,,76.18,75.98,75.98,,,,,76.68,76.88,,,,76.68,76.38,76.18,
CR,CHIEVE,19029.0001,via Zaninelli,1548491.25,5021128.5,78,,X,3,,,,,,,,,,,70.74,70.72,70.54,,,70.33,,,,,,,,,,,,,
BG,CHIGNOLO D'ISOLA - Bergum Impianti / Flag,160722490,"via Industriale, 1",1541538,5057511,214.9,,X,1,,,,,,180.27,179.38,178.69,178.07,177.92,178.15,178.73,177.72,177.02,181.05,179.64,,181.44,180.4,180.8,179.74,180.42,,,,181.16,179.97,179.92,178.12
PV,CILAVEGNA 2,38,via Petrarca,1480220,5017495,115.5,,X,1,,,,,,,,,111.98,111.6,111.65,111.56,111.5,111.41,111.56,111.54,111.61,111.56,111.62,111.62,111.62,111.79,,,,111.42,111.29,,
CR,CINGIA DE' BOTTI,19031.0003,via Pievetta,1600202,4993266.5,30,,X,3,,,,,,,,,,,27.02,26.77,26.78,,,26.69,,,,,,,,,,,,,
MI - MONZA,CINISELLO BALSAMO - CAP,150770073,via Petrella,1517875,5045125,128.85,,,,,,,,,,,,,,,,,98.55,98.25,98.05,97.85,97.65,97.95,,98.85,99.15,,,,98.95,98.75,98.45,
MI - MONZA,CINISELLO BALSAMO - CAP,150770023,via Galilei,1519410,5044683,150.67,,X,3,,,,,,126.37,125.67,126.07,126.37,126.27,126.27,,,125.7,126.9,126.1,125.7,124.5,124.7,,125.07,125.67,,,,123.9,123.7,123.3,
VA,CITTIGLIO,PO1205100100T0,Municipio,1474310,5082435,245,,X,SUPERF. (acquifero locale),,,,,,227.02,226.23,225.36,224.61,223.95,223.88,223.35,222.95,222.26,222.73,223.5,223.35,230.66,230.71,227.83,227.89,228.54,,,,228.23,226.46,,
BG,CIVIDATE AL PIANO - Acciaieria di Cividate S.p.a. ,160731283,Loc. Motta Alta,1565706,5042165,131.2,,X,,,,,,,190.91,191.72,192.33,191.57,189.66,188.82,187.15,185.77,120.9,120.9,120.83,,121.84,121.9,122.43,122.5,122.06,,,,121.1,121.39,121.02,121.03
BS,COLOGNE - ARPA,12,VIA BRESCIA,1573702,5047379,173.8,,,,,,,,,,,,133.37,,,,,,,,,,,,,,,,,,,,
LO,COMAZZO - CAP,980200001,p.zza Caduti,1536534,5032132,93.02,,X,2,,,,,,87.22,87.32,87.82,88.12,88.02,87.72,,,87.12,87.32,87.22,86.92,87.52,87.72,,88.32,88.12,,,,88.02,88.12,87.62,
BS,COMEZZANO-CIZZAGO - COGEME,13,Pozzo centro Cizzago,1574308,5035632,106.5,,X,1,,,,,,,104.51,,,,,,,,,104.23,103.97,104.46,104.26,104.88,105.34,,,,,104.68,104.29,104.13,103.92
MI,CONCOREZZO               ,150840002,S.P.13 Malcantone,1525395.999,5047386.998,162.27,,,,,,,,,140.77,140.87,140.87,141.07,140.87,140.57,,,,,,,,,,,,,,,,,,
PV,CORANA 1,17,Strada per Silvano Pietra,1497225,4989280,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,CORBETTA,150850004,via Veneto,1494156.004,5034189.999,132.09,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - MONZA,COREZZANA - CAP,150920003,via Fermi,1523723,5056321,247.15,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,CORNAREDO,150870001,Campo Sportivo I,1501530,5037775,136.84,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO,Cotoni - n.4,PO014061OR0001,SONDRIO - Marzotto,1567250,5112867,294.392,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,CURA 1,6,Borghetto,1520475,5007050,71.4,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,CURTATONE,42,SARZI AMADE' ANTONIO,1633980,5000510,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,CURTATONE,45,via Donatori sangue,1639420,4998740,26.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,CUSAGO,150970003,via Cervi fino a 5/99 p.1,1502657,5033450,127.1,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,DALMINE - Amministrazione Comunale,160910003,via Fiume Adda,1546509,5056225,211.8,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - MONZA,DESIO - CAP,151000003,via Torricelli,1516295,5051936,146.19,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,DORNO,59,via Cordara,1495780,5000315,88.1,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,FENEGRO' - Antiga Spa - pozzo 2,4(6),Via Trento,1500090,5061970,305,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,FIESCO,19043.0003,via F. Noli,1561257.5,5020927,72,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,FIGINO SERENZA - soc. Pragma spa,4 bis,Loc Campaccio,1510815,5061625,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,FINO MORNASCO - Az.Colline Comasche - pozzo 2,8(10),Cascina Pazzea,1504625,5065990,299,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO,FOMBIO - CAP                                 ,980260002,via Giovanni XXIII,1554292,4998880,42.264,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,GALLARATE,PO1207002201T0,via Monte S. Martino,1482360,5058150,271,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,GALLARATE,PO1207000900T0,via Alberone - via Ferrari,1483140,5055620,235,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,GAMBARA - ASM,15,via Fiesse,1603746,5011956,47.7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,GARLASCO 2,23,via Albera,1494570,5003840,91.1,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,GARLASCO 3,26,via Bozzola - Palazzeto,1494065,5004980,90.8,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,GAZZUOLO,49,ITALGAS (VIADANA),1624010,4992410,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,GENZONE 1,10,Via cairoli,1527575,5002880,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,GERENZANO,PO1207502002T0,Discarica - controllo,1497940,5052150,220.65,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-Città,GESSATE,151060008,p.zza Aturia 9,1534449,5044895,128.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,GHEDI - ARPA,16,VIA CARAVAGGIO,1600058,5027965,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,GIUSSAGO 2,8,via Papa Giov. XXIII ,1511200,5014400,92,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
