gid,id_punto,id_originale,id_ente,tipo_punto,id_acquifero,id_hydros,presenza_strat,stratigrafia_pdf,istat_comune,istat_prov,x_sr1,y_sr1,x_sr2,y_sr2,quota_testa_tubo,nota_coordinate,quota_piano_campagna,fonte_quota_piano_campagna,indirizzo_punto,ente_gestore,proprieta,indirizzo_proprieta,fonte,bacino_idro,note
82,PO019047NRA001,,,PIEZOMETRO,,,,,GENIVOLTA,CR,1568930.0,5021713.0,568902.0,5021693.0,60.78,,60.33,,,,,,PTUA2022,IT03GWBISSMPAO,
83,PO019049NRA001,,,POZZO,,,,,GOMBITO,CR,1556176.0,5011339.0,556148.0,5011319.0,51.28,,51.28,,,,,,PTUA2022,IT03GWBISSMPAO,
84,PO019051NRA001,,,PIEZOMETRO,,,,,GRUMELLO CREMONESE ED UNITI,CR,1568904.0,5004763.0,568876.0,5004743.0,46.42,,46.42,,,,,,PTUA2022,IT03GWBISSMPAO,
85,PO019056NRA001,,,POZZO,,,,,MALAGNINO,CR,1586970.0,4998293.0,586940.0,4998273.0,41.0,,41.0,,,,,,PTUA2022,IT03GWBISSMPAO,
86,PO019065NRA001,,,PIEZOMETRO,,,,,PADERNO PONCHIELLI,CR,1574466.0,5010608.0,574438.0,5010588.0,58.87,,58.21,,,,,,PTUA2022,IT03GWBISSMPAO,
87,PO019070NRA001,,,PIEZOMETRO,,,,,PESSINA CREMONESE,CR,1599806.0,5003171.0,599778.0,5003151.0,39.44,,39.3,,,,,,PTUA2022,IT03GWBISSMPAO,
88,PO019071NRA001,,,PIEZOMETRO,,,,,PIADENA,CR,1611031.0,4998762.0,611002.0,4998742.0,26.5,,26.14,,,,,,PTUA2022,IT03GWBISSBPPO,
89,PO019077NRA001,,,PIEZOMETRO,,,,,POZZAGLIO ED UNITI,CR,1579867.0,5008365.0,579839.0,5008345.0,53.81,,53.07,,,,,,PTUA2022,IT03GWBISSMPAO,
90,PO019083NRA001,,,POZZO,,,,,RIVAROLO DEL RE ED UNITI,CR,1616532.0,4988746.0,616502.0,4988727.0,21.39,,22.0,,,,,,PTUA2022,IT03GWBISSBPPO,
91,PO019084NRA002,,,PIEZOMETRO,,,,,RIVOLTA D'ADDA,CR,1540446.0,5033610.0,540419.0,5033590.0,96.18,,95.96,,,,,,PTUA2022,IT03GWBISSMPAO,
92,PO019088NRP001,,,POZZO,,,,,SAN BASSANO,CR,1563745.0,5010339.0,563718.0,5010320.0,50.943,,51.343,,,,,,PTUA2022,IT03GWBISSMPAO,
93,PO019089NUA001,,,POZZO,,,,,SAN DANIELE PO,CR,1590562.0,4991171.0,590532.0,4991152.0,33.6,,33.6,,,,,,PTUA2022,IT03GWBISSBPPO,
94,PO019091NRA001,,,PIEZOMETRO,,,,,SAN MARTINO DEL LAGO,CR,1602982.0,4991142.0,602954.0,4991122.0,29.18,,28.83,,,,,,PTUA2022,IT03GWBISSBPPO,
95,PO019094NU0944,,,POZZO,,,,,SERGNANO,CR,1554749.0,5030589.0,554722.0,5030569.0,91.1,,90.54,,,,,,PTUA2022-PTUA2003,IT03GWBISSMPAO,via Vallarsa
96,PO019103NRA001,,,PIEZOMETRO,,,,,STAGNO LOMBARDO,CR,1583764.0,4989711.0,583736.0,4989691.0,34.83,,34.46,,,,,,PTUA2022,IT03GWBISSBPPO,
97,PO019110NRA001,,,PIEZOMETRO,,,,,TRIGOLO,CR,1564950.0,5019524.0,564922.0,5019504.0,70.82,,70.16,,,,,,PTUA2022,IT03GWBISSMPAO,
98,PO0970200U0002,,,POZZO,,,,,CERNUSCO LOMBARDONE,LC,1531046.0,5060385.0,531019.0,5060365.0,254.711,,256.57,,,,,,PTUA2022,IT03GWBISSAPTA,
99,PO0970200U0003,,,POZZO,,,,,CERNUSCO LOMBARDONE,LC,1530517.0,5059509.0,530490.0,5059489.0,246.905,,248.915,,,,,,PTUA2022,IT03GWBISSAPTA,
100,PO0970440U0002,,,POZZO,,,,,LOMAGNA,LC,1528378.0,5057101.0,528339.0,5057036.0,252.0,,252.0,,,,,,PTUA2022,IT03GWBISSAPTA,
101,PO0970480U0001,,,POZZO,,,,,MERATE,LC,1531016.0,5061299.0,530989.0,5061279.0,264.704,,266.704,,,,,,PTUA2022,IT03GWBISSAPTA,
102,PO0970610U0001,,,POZZO,,,,,OSNAGO,LC,1530578.0,5058762.0,530551.0,5058742.0,248.594,,248.594,,,,,,PTUA2022,IT03GWBISSAPTA,
103,PO0970610U0015,,,POZZO,,,,,OSNAGO,LC,1529887.0,5057963.0,529860.0,5057943.0,238.515,,238.095,,,,,,PTUA2022,IT03GWBISSAPTA,
104,PO097088NR0002,,,POZZO,,,,,VERDERIO SUPERIORE,LC,1535595.0,5057015.0,535566.0,5056994.0,250.84,,250.84,,,,,,PTUA2022,IT03GWBISSAPTA,
105,PO098002NR0045,,,POZZO,,,,,BERTONICO,LO,1551624.0,5007982.0,551597.0,5007962.0,65.153,,64.753,,,,,,PTUA2022,IT03GWBISSMPLAS,
106,PO098003NR0063,,,POZZO,,,,,BOFFALORA D'ADDA,LO,1537605.0,5023199.0,537578.0,5023179.0,72.433,,72.403,,,,,,PTUA2022,IT03GWBISSMPAO,
107,PO098004NR0044,,,POZZO,,,,,BORGHETTO LODIGIANO,LO,1537721.0,5005153.0,537694.0,5005133.0,58.29,,58.29,,,,,,PTUA2022,IT03GWBISSMPLAS,
108,PO098006NR0030,,,POZZO,,,,,BREMBIO,LO,1544838.0,5007947.0,544811.0,5007927.0,67.16,,67.16,,,,,,PTUA2022,IT03GWBISSMPLAS,
