gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
154,PO0160280R0003,4,2013-05-01,,no,,,176.614,,192.624,,PTUA2022,
155,PO0160280R0003,4,2013-06-01,,no,,,177.974,,192.624,,PTUA2022,
156,PO0160280R0003,4,2013-07-01,,no,,,177.824,,192.624,,PTUA2022,
157,PO0160280R0003,4,2013-08-01,,no,,,176.834,,192.624,,PTUA2022,
158,PO0160280R0003,4,2013-09-01,,no,,,175.764,,192.624,,PTUA2022,
159,PO0160280R0003,4,2013-10-01,,no,,,175.334,,192.624,,PTUA2022,
160,PO0160280R0003,4,2013-11-01,,no,,,175.444,,192.624,,PTUA2022,
161,PO0160280R0003,4,2013-12-01,,no,,,175.564,,192.624,,PTUA2022,
162,PO0160280R0003,4,2014-01-01,,no,,,176.304,,192.624,,PTUA2022,
163,PO0160280R0003,4,2014-02-01,,no,,,179.184,,192.624,,PTUA2022,
164,PO0160280R0003,4,2014-03-01,,no,,,178.654,,192.624,,PTUA2022,
165,PO0160280R0003,4,2014-04-01,,no,,,175.964,,192.624,,PTUA2022,
166,PO0160280R0003,4,2014-05-01,,no,,,175.504,,192.624,,PTUA2022,
167,PO0160280R0003,4,2014-06-01,,no,,,176.214,,192.624,,PTUA2022,
168,PO0160280R0003,4,2014-07-01,,no,,,176.444,,192.624,,PTUA2022,
169,PO0160280R0003,4,2014-08-01,,no,,,177.504,,192.624,,PTUA2022,
170,PO0160280R0003,4,2014-09-01,,no,,,178.494,,192.624,,PTUA2022,
171,PO0160280R0003,4,2014-10-01,,no,,,175.964,,192.624,,PTUA2022,
172,PO0160280R0003,4,2014-11-01,,no,,,175.884,,192.624,,PTUA2022,
173,PO0160280R0003,4,2014-12-01,,no,,,178.994,,192.624,,PTUA2022,
174,PO0160280R0003,4,2015-01-01,,no,,,177.024,,192.624,,PTUA2022,
175,PO0160280R0003,4,2015-02-01,,no,,,175.804,,192.624,,PTUA2022,
176,PO0160280R0003,4,2015-03-01,,no,,,176.464,,192.624,,PTUA2022,
177,PO0160280R0003,4,2015-04-01,,no,,,175.544,,192.624,,PTUA2022,
178,PO0160280R0003,4,2015-05-01,,no,,,174.914,,192.624,,PTUA2022,
179,PO0160280R0003,4,2015-06-01,,no,,,175.004,,192.624,,PTUA2022,
180,PO0160280R0003,4,2015-07-01,,no,,,175.004,,192.624,,PTUA2022,
181,PO0160280R0003,4,2015-08-01,,no,,,174.764,,192.624,,PTUA2022,
182,PO0160280R0003,4,2015-09-01,,no,,,174.704,,192.624,,PTUA2022,
183,PO0160280R0003,4,2015-10-01,,no,,,174.314,,192.624,,PTUA2022,
184,PO0160280R0003,4,2015-11-01,,no,,,174.684,,192.624,,PTUA2022,
185,PO0160280R0003,4,2015-12-01,,no,,,174.404,,192.624,,PTUA2022,
186,PO0160280R0003,4,2016-01-01,,no,,,173.754,,192.624,,PTUA2022,
187,PO0160280R0003,4,2016-02-01,,no,,,173.944,,192.624,,PTUA2022,
188,PO0160280R0003,4,2016-03-01,,no,,,175.164,,192.624,,PTUA2022,
189,PO0160280R0003,4,2016-04-01,,no,,,175.184,,192.624,,PTUA2022,
190,PO0160280R0003,4,2016-05-01,,no,,,174.844,,192.624,,PTUA2022,
191,PO0160280R0003,4,2016-06-01,,no,,,177.254,,192.624,,PTUA2022,
192,PO0160280R0003,4,2016-07-01,,no,,,178.154,,192.624,,PTUA2022,
193,PO0160280R0003,4,2016-08-01,,no,,,177.764,,192.624,,PTUA2022,
194,PO0160280R0003,4,2016-09-01,,no,,,177.464,,192.624,,PTUA2022,
195,PO0160280R0003,4,2016-10-01,,no,,,175.824,,192.624,,PTUA2022,
196,PO0160280R0003,4,2016-11-01,,no,,,175.044,,192.624,,PTUA2022,
197,PO0160280R0003,4,2016-12-01,,no,,,175.024,,192.624,,PTUA2022,
198,PO0160280R0003,4,2017-01-01,,no,,,174.394,,192.624,,PTUA2022,
199,PO0160280R0003,4,2017-02-01,,no,,,173.904,,192.624,,PTUA2022,
200,PO0160280R0003,4,2017-03-01,,no,,,173.734,,192.624,,PTUA2022,
201,PO0160280R0003,4,2017-04-01,,no,,,173.644,,192.624,,PTUA2022,
202,PO0160280R0003,4,2017-05-01,,no,,,173.594,,192.624,,PTUA2022,
203,PO0160280R0003,4,2017-06-01,,no,,,175.434,,192.624,,PTUA2022,
204,PO0160280R0003,4,2017-07-01,,no,,,175.384,,192.624,,PTUA2022,
205,PO0160280R0003,4,2017-08-01,,no,,,175.116,,192.624,,PTUA2022,
