CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,CODICETOOL
CURTATONE42,MN,CURTATONE,,42,SARZI AMADE' ANTONIO,1633980.0,5000510.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CURTATONE42
CURTATONE45,MN,CURTATONE,,45,via Donatori sangue,1639420.0,4998740.0,26.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CURTATONE45
CUSAGO150970003,MI - Par.,CUSAGO,,150970003,via Cervi fino a 5/99 p.1,1502657.0,5033450.0,127.1,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUSAGO150970003
DALMINE160910003,BG,DALMINE,Amministrazione Comunale,160910003,via Fiume Adda,1546509.0,5056225.0,211.8,,,3,134.0,272.5,134.0,140.0,146.0,152.0,166.0,172.0,181.0,184.0,193.0,196.0,204.0,205.5,208.0,211.0,213.5,218.0,229.0,235.0,247.0,250.0,257.0,263.0,267.5,272.5,,,,,,DALMINE160910003
DESIO151000003,MI - MONZA,DESIO,CAP,151000003,via Torricelli,1516295.0,5051936.0,146.19,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESIO151000003
DORNO59,PV,DORNO,,59,via Cordara,1495780.0,5000315.0,88.1,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DORNO59
FENEGRO'4(6),CO,FENEGRO',Antiga Spa   pozzo 2,4(6),Via Trento,1500090.0,5061970.0,305.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FENEGRO'4(6)
FIESCO19043.0003,CR,FIESCO,,19043.0003,via F. Noli,1561257.5,5020927.0,72.0,,X,3,133.0,154.0,133.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,FIESCO19043.0003
FIGINO SERENZA4 bis,CO,FIGINO SERENZA,soc. Pragma spa,4 bis,Loc Campaccio,1510815.0,5061625.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIGINO SERENZA4 bis
FINO MORNASCO8(10),CO,FINO MORNASCO,Az.Colline Comasche   pozzo 2,8(10),Cascina Pazzea,1504625.0,5065990.0,299.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINO MORNASCO8(10)
