CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
BULGAROGRASSO6(8),CO,BULGAROGRASSO,Az. Colline Comasche pozzo 1,6(8),via Montichiari,1500420,5065600,327,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BUSTO A.PO1202602103T0,VA,BUSTO A.,,PO1202602103T0,ZONA INDUSTRIALE,1486405,5048283,210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CABIATE12(17),CO,CABIATE,S.E.T. srl   pozzo 1,12(17),via Buozzi,1514195,5057470,237,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CALVIGNASCO0150420002,,CALVIGNASCO,,150420002,,1501581,5019920,104.25,Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAMAIRAGO0980070001,,CAMAIRAGO,,980070001,,1556980,5006056,47.85,via 4 Novembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CANDIA45,PV,CANDIA,ASM - 1,45,,1468415,5003205,103.2,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CURTATONE45,MN,CURTATONE,,45,via Donatori sangue,1639420,4998740,26.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONTICHIARI45,BS,MONTICHIARI,ASM,45,Loc. Ro',1606700,5031100,104.85,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CANTU'010 (14),CO,CANTU',Canturina Servizi spa   pozzo S. Antonino,010 (14),Cascna S.Antonino,1509350,5065650,305,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CANTU'13,CO,CANTU',p. Asnago 4  Canturina Servizi spa,13,Asnago,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
COMEZZANO13,BS,COMEZZANO,CIZZAGO   COGEME,13,Pozzo centro Cizzago,1574308,5035632,106.5,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PORTALBERA13,PV,PORTALBERA,ASM - 5,13,Cassinassa,1524334,4993150,69,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAPIAGO INTIMIANO015 (22),CO,CAPIAGO INTIMIANO,Az.Colline Com. pozzo Guastone 1,015 (22),Via Roma,1510495,5068940,420,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAPPELLA DE' PICENARDI019014.0001,CR,CAPPELLA DE' PICENARDI,,19014.0001,via Cavour,1596934,5001321,42,,X,3,153.6,163.1,153.6,163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,PTUA2003
CARATE BRIANZA0150480015,,CARATE BRIANZA,,150480015,,1517795,5058469,212.95,Villa-via all'Isola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARAVAGGIO0160530002,BG,CARAVAGGIO,Amministrazione Comunale,160530002,via Zelioli,1550077,5039136,114.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARBONATE1,CO,CARBONATE,Acqua Serpio spa,1,via Giovanni XXIII,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ZINASCO1,PV,ZINASCO,2,1,S.P. Alessandria-Pavia,1501635,4996750,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARIMATE9(12),CO,CARIMATE,Canturina Servizi spa   pozzo 2,9(12),Valle Serenza,1508600,5060822,244,,x,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARNATE0150490001,,CARNATE,,150490001,,1529550,5055100,191.03,via Pace - serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARNATE0150490019,,CARNATE,,150490019,,1529290,5054175,215.23,Grandi x Usmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARNATE0150490021,,CARNATE,,150490021,,1529290,5054175,215.23,Grandi nuovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARNATE0154900019,MI - MONZA,CARNATE,CAP,154900019,Grandi x Usmate,1529290,5054175,215.226,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARNATE0154900021,MI - MONZA,CARNATE,CAP,154900021,Grandi nuovo,1529290,5054175,215.226,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARONNO P.PO1203400600T0,VA,CARONNO P.,,PO1203400600T0,via della Vittoria,1503390,5049745,192.5,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARPENEDOLO9,BS,CARPENEDOLO,ARPA,9,P. LAMETTA VIA ERCOLIANI,1612731,5025701,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
TORRE D'ARESE9,PV,TORRE D'ARESE,ARPA - 1,9,via Morivione,1525160,5009820,77.4,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARPIANO DELLE ARTI0150500002,,CARPIANO DELLE ARTI,,150500002,,1521237,5020702,92.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARUGATE0150510004,,CARUGATE,,150510004,,1527899,5044408,124.9,C.na Valera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASALE LITTAPO1203600300T0,VA,CASALE LITTA,,PO1203600300T0,Firello - Villa Dosia,1479360,5065190,280.72,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASALETTO VAPRIO019020.0001,CR,CASALETTO VAPRIO,,19020.0001,via Don Gnocchi,1549003,5028336,86,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASALMAGGIORE019021.0008,CR,CASALMAGGIORE,8,19021.0008,Vicomoscano,1613736.375,4981155.5,26,,X,2,138,142,138,142,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,PTUA2003
CASALPUSTERLENGO0980100003,,CASALPUSTERLENGO,,980100003,,1550786,5003618,54.95,via Cadorna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASALROMANO23,MN,CASALROMANO,,23,via del Dosso 18 - Fontanella Grazioli,1604660,5005280,37.90000153,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GARLASCO23,PV,GARLASCO,2,23,via Albera,1494570,5003840,91.1,,X,3,142,156,142,156,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,PTUA2003
MONTIRONE23,BS,MONTIRONE,ASM,23,via Mercanti,1596004,5033224,100.8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASALROMANO24,MN,CASALROMANO,,24,via IV Novembre (vicino al pensile),1607830,5006280,37.70000076,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NAVE24,BS,NAVE,ASM,24,Prada,1598442,5048284,206,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASALROMANO25,MN,CASALROMANO,,25,Gerelli Irene,1607280,5005820,37.8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OFFLAGA25,BS,OFFLAGA,ASM,25,Cignano,1586697,5025513,73,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
TORREBERETTI25,PV,TORREBERETTI,ASM - 1,25,Via Pascoli,1489690,5006080,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASATENOVOPI097016101,LC,CASATENOVO,,PI097016101,MAGGIONI (EX PIRROTTA),1524964,5058591,294.1,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASEI GEROLA21,PV,CASEI GEROLA,2,21,St. per Castelnuovo ,1494095,4983105,80.9,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONTICHIARI21,BS,MONTICHIARI,ASM,21,Vighizzolo Nuovo,1606945,5033055,120.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASELLE LANDI0980110001,,CASELLE LANDI,,980110001,,1562239,4994652,45.34,via Roma I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASSANO D'ADDA0150590001,MI - CittÃ ,CASSANO D'ADDA,,150590001,Muzza I-5 Martiri,1540544,5041200,116.7,Muzza I-5 Martiri,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,PTUA2003
CASSINETTA DI LUGAGNANO0150610001,,CASSINETTA DI LUGAGNANO,,150610001,,1493070,5030100,122,via Pace-serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
