,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
56,SO,MESE,PO0140430U0001,2009-08-26,269.0,soggiacenza statica,18.95,250.05,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
57,SO,MESE,PO0140430U0001,2009-09-30,269.0,soggiacenza statica,19.0,250.0,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
58,SO,MESE,PO0140430U0001,2009-10-30,269.0,soggiacenza statica,20.9,248.1,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
59,SO,MESE,PO0140430U0001,2009-11-18,269.0,soggiacenza statica,21.8,247.2,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
60,SO,MESE,PO0140430U0001,2009-12-21,269.0,soggiacenza statica,20.3,248.7,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
61,SO,MESE,PO0140430U0001,2010-01-22,269.0,soggiacenza statica,20.25,248.75,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
62,SO,MESE,PO0140430U0001,2010-02-22,269.0,soggiacenza statica,21.75,247.25,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
63,SO,MESE,PO0140430U0001,2010-03-31,269.0,soggiacenza statica,21.94,247.06,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
64,SO,MESE,PO0140430U0001,2010-04-28,269.0,soggiacenza statica,19.13,249.87,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
65,SO,MESE,PO0140430U0001,2010-05-26,269.0,soggiacenza statica,18.7,250.3,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
66,SO,MESE,PO0140430U0001,2010-06-30,269.0,soggiacenza statica,18.0,251.0,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
