,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
55,BG,BERGAMO,PO0160240R0296,2015-08-05,232.0,soggiacenza statica,51.77,180.23,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BG,BERGAMO,PO0160240R0296,2015-09-04,232.0,soggiacenza statica,52.16,179.84,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
57,BG,BERGAMO,PO0160240R0296,2015-10-01,232.0,soggiacenza statica,52.48,179.52,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
58,BG,BERGAMO,PO0160240R0296,2015-11-06,232.0,soggiacenza statica,52.75,179.25,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
59,BG,BERGAMO,PO0160240R0296,2015-12-01,232.0,soggiacenza statica,54.18,177.82,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BG,BERGAMO,PO0160240R0296,2016-01-15,232.0,soggiacenza statica,53.86,178.14,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
61,BG,BERGAMO,PO0160240R0296,2016-02-02,232.0,soggiacenza statica,56.3,175.7,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BG,BERGAMO,PO0160240R0296,2016-03-03,232.0,soggiacenza statica,56.34,175.66,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
63,BG,BERGAMO,PO0160240R0296,2016-04-01,232.0,soggiacenza statica,54.75,177.25,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
64,BG,BERGAMO,PO0160240R0296,2016-05-17,232.0,soggiacenza statica,52.96,179.04,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
