,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
71,MI,ABBIATEGRASSO,PO0150020U0014,2020-11-01,121.735,soggiacenza statica,5.64,116.095,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,MI,ABBIATEGRASSO,PO0150020U0014,2020-12-01,121.735,soggiacenza statica,5.67,116.065,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,MI,BASIGLIO,PO0150150U0001,2009-01-15,96.789,soggiacenza statica,5.73,91.059,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,OUTLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,MI,BASIGLIO,PO0150150U0001,2009-02-15,96.789,soggiacenza statica,4.37,92.419,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,MI,BASIGLIO,PO0150150U0001,2009-03-15,96.789,soggiacenza statica,4.62,92.169,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,MI,BASIGLIO,PO0150150U0001,2009-04-15,96.789,soggiacenza statica,4.44,92.349,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,MI,BASIGLIO,PO0150150U0001,2009-05-15,96.789,soggiacenza statica,5.0,91.789,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,MI,BASIGLIO,PO0150150U0001,2009-06-15,96.789,soggiacenza statica,4.58,92.209,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,MI,BASIGLIO,PO0150150U0001,2009-07-15,96.789,soggiacenza statica,5.29,91.499,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,MI,BASIGLIO,PO0150150U0001,2009-09-15,96.789,soggiacenza statica,4.32,92.469,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,MI,BASIGLIO,PO0150150U0001,2009-10-15,96.789,soggiacenza statica,4.51,92.279,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,MI,BASIGLIO,PO0150150U0001,2010-01-01,96.789,soggiacenza statica,4.28,92.509,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MI,BASIGLIO,PO0150150U0001,2010-03-01,96.789,soggiacenza statica,3.91,92.879,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,MI,BASIGLIO,PO0150150U0001,2010-04-01,96.789,soggiacenza statica,4.48,92.309,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,MI,BASIGLIO,PO0150150U0001,2010-05-01,96.789,soggiacenza statica,3.85,92.939,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,MI,BASIGLIO,PO0150150U0001,2010-06-01,96.789,soggiacenza statica,4.33,92.459,3.835,4.44,92.349,92.95400000000001,0.605000000000004,91.44149999999999,93.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
