,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 22,Unnamed: 23,Quartili soggiacenza,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
50,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2020-11-01,32.636,soggiacenza statica,3.0,29.636,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2020-12-01,32.636,soggiacenza statica,3.9,28.736,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MN,ASOLA,PO0200020U0004,2001-03-15,41.362,soggiacenza statica,7.12,34.242,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MN,ASOLA,PO0200020U0004,2001-06-15,41.362,soggiacenza statica,7.46,33.902,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MN,ASOLA,PO0200020U0004,2001-07-15,41.362,soggiacenza statica,7.9,33.462,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MN,ASOLA,PO0200020U0004,2001-08-15,41.362,soggiacenza statica,7.8,33.562,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MN,ASOLA,PO0200020U0004,2001-09-15,41.362,soggiacenza statica,7.6,33.762,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MN,ASOLA,PO0200020U0004,2001-10-15,41.362,soggiacenza statica,6.92,34.442,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,MN,ASOLA,PO0200020U0004,2001-11-15,41.362,soggiacenza statica,6.54,34.822,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,MN,ASOLA,PO0200020U0004,2001-12-15,41.362,soggiacenza statica,6.51,34.852,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,MN,ASOLA,PO0200020U0004,2002-01-15,41.362,soggiacenza statica,7.13,34.232,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,MN,ASOLA,PO0200020U0004,2002-02-15,41.362,soggiacenza statica,7.1,34.262,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,MN,ASOLA,PO0200020U0004,2002-03-15,41.362,soggiacenza statica,7.2,34.162,6.0,9.575,31.787,35.362,3.575000000000003,26.424499999999995,40.724500000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
