,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
36,PV,ALBONESE,PO018003NR0009,2019-01-31,113.49,soggiacenza statica,2.13,111.36,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PV,ALBONESE,PO018003NR0009,2019-02-28,113.49,soggiacenza statica,2.2,111.29,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PV,ALBONESE,PO018003NR0009,2019-03-31,113.49,soggiacenza statica,2.28,111.21,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PV,ALBONESE,PO018003NR0009,2019-04-29,113.49,soggiacenza statica,2.4,111.09,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PV,ALBONESE,PO018003NR0009,2019-05-31,113.49,soggiacenza statica,1.64,111.85,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PV,ALBONESE,PO018003NR0009,2019-06-30,113.49,soggiacenza statica,0.69,112.8,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PV,ALBONESE,PO018003NR0009,2019-07-31,113.49,soggiacenza statica,0.56,112.93,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PV,ALBONESE,PO018003NR0009,2019-08-31,113.49,soggiacenza statica,0.35,113.14,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PV,ALBONESE,PO018003NR0009,2019-09-30,113.49,soggiacenza statica,1.58,111.91,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PV,ALBONESE,PO018003NR0009,2019-10-28,113.49,soggiacenza statica,1.93,111.56,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
