,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
49,PV,CANDIA LOMELLINA,PO0180270U0001,2018-05-17,103.848,soggiacenza statica,3.6,100.248,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PV,CANDIA LOMELLINA,PO0180270U0001,2018-06-25,103.848,soggiacenza statica,2.45,101.398,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PV,CANDIA LOMELLINA,PO0180270U0001,2018-08-22,103.848,soggiacenza statica,1.5,102.348,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PV,CANDIA LOMELLINA,PO0180270U0001,2018-09-20,103.848,soggiacenza statica,2.1,101.748,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PV,CANDIA LOMELLINA,PO0180270U0001,2018-10-25,103.848,soggiacenza statica,3.32,100.528,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PV,CANDIA LOMELLINA,PO0180270U0001,2018-11-28,103.848,soggiacenza statica,3.05,100.798,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PV,CANDIA LOMELLINA,PO0180270U0001,2018-12-31,103.848,soggiacenza statica,3.25,100.598,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PV,CANDIA LOMELLINA,PO0180270U0001,2019-01-28,103.848,soggiacenza statica,3.65,100.198,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PV,CANDIA LOMELLINA,PO0180270U0001,2019-02-28,103.848,soggiacenza statica,3.9,99.948,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PV,CANDIA LOMELLINA,PO0180270U0001,2019-03-28,103.848,soggiacenza statica,4.0,99.848,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PV,CANDIA LOMELLINA,PO0180270U0001,2019-05-16,103.848,soggiacenza statica,4.2,99.648,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PV,CANDIA LOMELLINA,PO0180270U0001,2019-06-30,103.848,soggiacenza statica,1.6,102.248,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PV,CANDIA LOMELLINA,PO0180270U0001,2019-07-31,103.848,soggiacenza statica,1.5,102.348,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PV,CANDIA LOMELLINA,PO0180270U0001,2019-08-23,103.848,soggiacenza statica,1.45,102.398,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PV,CANDIA LOMELLINA,PO0180270U0001,2019-09-30,103.848,soggiacenza statica,3.3,100.548,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PV,CANDIA LOMELLINA,PO0180270U0001,2019-10-24,103.848,soggiacenza statica,3.2,100.648,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PV,CANDIA LOMELLINA,PO0180270U0001,2019-11-30,103.848,soggiacenza statica,3.05,100.798,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PV,CANDIA LOMELLINA,PO0180270U0001,2020-06-30,103.848,soggiacenza statica,2.35,101.498,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PV,CANDIA LOMELLINA,PO0180270U0001,2020-10-15,103.848,soggiacenza statica,2.7,101.148,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PV,CASSOLNOVO,PO018035NU0001,2008-02-27,120.038,soggiacenza statica,14.97,105.068,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PV,CASSOLNOVO,PO018035NU0001,2008-08-27,120.038,soggiacenza statica,13.25,106.788,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PV,CASSOLNOVO,PO018035NU0001,2009-02-02,120.038,soggiacenza statica,15.25,104.788,14.0,15.112499999999999,104.9255,106.038,1.1124999999999972,103.25675000000001,107.70675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
