,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
31,BG,ARCENE,PO0160110U0005,2015-05-22,156.265,soggiacenza statica,7.85,148.415,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO0171880UC033,110.86,113.54,18.0,20.68,,PO017162NUP001,2.775,3.125,3.42,3.46,3.0375,5.525,3.525,3.575,3.2600000000000002,3.42,3.325,4.215,3.79,4.93,2.955,3.3049999999999997,2.7375,3.025,3.0625,3.1875,2.85,2.85,3.15,3.15
32,BG,ARCENE,PO0160110U0005,2015-06-25,156.265,soggiacenza statica,6.72,149.545,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO0190790U0001,83.205,83.55,4.6,4.945,,PO017166NUP001,79.07249999999999,79.815,78.3825,80.12,79.275,81.0325,79.9225,81.5725,80.3825,81.82249999999999,80.3025,81.84,78.41,79.69,78.55,80.12,77.275,78.905,77.82,78.64,78.5725,79.12,79.02,79.60249999999999
33,BG,ARCENE,PO0160110U0005,2015-07-17,156.265,soggiacenza statica,6.27,149.995,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO0190970U0002,80.43,81.53,5.25,6.35,,PO0171880UC033,18.424999999999997,19.814999999999998,19.35,20.33,19.6825,20.3475,21.215,24.445,22.27,28.27,19.125,20.175,17.737499999999997,17.9125,,,16.7,16.7,16.945,17.435,16.285,17.655,18.9,18.9
34,BG,ARCENE,PO0160110U0005,2015-08-20,156.265,soggiacenza statica,5.65,150.615,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO019112NU1123,97.6960131048387,98.88,5.15,6.333986895161292,,PO0190790U0001,4.484999999999999,4.99,4.57,4.835,4.67,5.0775,4.8149999999999995,5.085,4.72,4.9725,4.7,4.85,4.385,4.827500000000001,4.74,4.87,4.72,4.9,4.7725,5,4.24,4.77,4.4825,4.8275
35,BG,ARCENE,PO0160110U0005,2015-09-25,156.265,soggiacenza statica,6.06,150.205,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO0980200U0001,92.333,93.133,5.3,6.1,,PO0190970U0002,5.6775,5.965,5.3549999999999995,5.880000000000001,5.455,6.29,5.7875,6.4875,5.235,7.0875,5.68,7.13,5.35,7.09,6.03,6.79,5.89,6.01,5.2524999999999995,5.7475,5.2,5.68,5.12,5.69
36,BG,ARCENE,PO0160110U0005,2015-10-20,156.265,soggiacenza statica,6.25,150.015,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO0980410U0002,83.277,84.077,3.87,4.67,,PO019112NU1123,6.2896855922185555,6.878055794462803,6.11,6.7842205459770275,5.89,6.48,6.663855902777784,7.527178819444458,5.3475,5.665,5.1,5.37,4.99,6.798773521505368,6.417146337365591,6.595491431451606,4.895,5.21,5.815745967741931,6.248017473118279,5.175,5.855,5.4075,6.156086189516123
37,BG,ARCENE,PO0160110U0005,2015-11-13,156.265,soggiacenza statica,6.76,149.505,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,Totale complessivo,93.3965,109.7,4.805,10.6,,PO0980200U0001,5.5375,5.95,5.35,6.15,5.5,6.3,5.6,6.215,5.5,6.3,5.4,6.1,5.1,5.8,5.09,5.55,5,5.625,5.3,5.675,5.4,5.685,5.36,5.7
38,BG,ARCENE,PO0160110U0005,2015-12-18,156.265,soggiacenza statica,7.86,148.405,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,PO0980410U0002,4.22,4.62,4.42,4.7825,4.52,4.67,3.87,4.42,4.62,4.72,3.43,4.62,2.9725,4.645,4.195,4.645,4.295,4.72,4.645,4.695,3.5,3.87,3.995,4.445
39,BG,ARCENE,PO0160110U0005,2016-01-15,156.265,soggiacenza statica,8.97,147.295,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,BG,ARCENE,PO0160110U0005,2016-02-26,156.265,soggiacenza statica,10.0,146.265,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
