,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1
60,BS,PISOGNE,PO0171430RC548,2013-04-09,190.26,soggiacenza statica,4.01,186.25,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
61,BS,PISOGNE,PO0171430RC548,2013-05-22,190.26,soggiacenza statica,1.51,188.75,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
62,BS,PISOGNE,PO0171430RC548,2013-06-03,190.26,soggiacenza statica,1.88,188.38,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
63,BS,PISOGNE,PO0171430RC548,2013-07-24,190.26,soggiacenza statica,2.38,187.88,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
64,BS,PISOGNE,PO0171430RC548,2013-08-13,190.26,soggiacenza statica,3.01,187.25,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
65,BS,PISOGNE,PO0171430RC548,2013-09-20,190.26,soggiacenza statica,3.31,186.95,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
66,BS,PISOGNE,PO0171430RC548,2013-10-23,190.26,soggiacenza statica,3.44,186.82,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
67,BS,PISOGNE,PO0171430RC548,2013-11-25,190.26,soggiacenza statica,3.25,187.01,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
68,BS,PISOGNE,PO0171430RC548,2013-12-04,190.26,soggiacenza statica,3.38,186.88,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
69,BS,PISOGNE,PO0171430RC548,2014-01-10,190.26,soggiacenza statica,1.81,188.45,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
70,BS,PISOGNE,PO0171430RC548,2014-02-05,190.26,soggiacenza statica,1.69,188.57,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
71,BS,PISOGNE,PO0171430RC548,2014-03-17,190.26,soggiacenza statica,2.2,188.06,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
72,BS,PISOGNE,PO0171430RC548,2014-04-01,190.26,soggiacenza statica,2.6,187.66,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
73,BS,PISOGNE,PO0171430RC548,2014-05-13,190.26,soggiacenza statica,2.0,188.26,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
74,BS,PISOGNE,PO0171430RC548,2014-06-17,190.26,soggiacenza statica,2.02,188.24,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
75,BS,PISOGNE,PO0171430RC548,2014-07-25,190.26,soggiacenza statica,1.98,188.28,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
76,BS,PISOGNE,PO0171430RC548,2014-08-14,190.26,soggiacenza statica,1.62,188.64,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
77,BS,PISOGNE,PO0171430RC548,2014-09-10,190.26,soggiacenza statica,2.28,187.98,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
78,BS,PISOGNE,PO0171430RC548,2014-10-22,190.26,soggiacenza statica,2.35,187.91,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
