CODICE,CODICE_SIF,CODICE_FOG,MACROAREE,CODICE_SSG,PROVINCIA,COMUNE,CODICEWISE,RETE,QUANTI_ESECUTORE,STATO,DATA_INIZIO,DATA_FINE,ALTRO_CODICE,SOSTITUITO_DA,SOSTITUISCE,X_GB,Y_GB,X_WGS84,Y_WGS84,ORIGINE_COORDINATE,QUOTA_MISU,QUOTA_PC_SLM,H_BP,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOTTOM,USO,TIPO,GWB_2015,Codice WISE Corpo idrico,Nome Corpo Idrico,SONDA AUTOMATICA,NOTE,ORIGINE,lat,lon,ALTRI CODICI,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,z_SSG,STRAT,FALDA,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A
PO0171130RC561,,,4.0,,BS,MONTICHIARI,IT03GWBISSAPOM_PO0171130RC561,1.0,2,M,2009-01-01 00:00:00,2020-12-01,,PO017113NRD106,,1605394.0,5033615.0,605366.0,5033595.0,2.0,118.75,120.0,-1.25,56.0,1.0,25.0,52.0,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.44793298041244,10.347414132436352,,,,,,,,,,,,,
PO017113NRD106,,,4.0,,BS,MONTICHIARI,IT03GWBISSAPOM_PO017113NRD106,3.0,2,C,2012-01-01 00:00:00,2020-12-01,,,PO0171130RC561,1605228.0,5032203.0,605200.0,5032183.0,2.0,111.68,111.28,0.4,41.8,1.0,29.8,41.8,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.43525177295833,10.344989929636169,,,,,,,,,,,,,
PO0171140UC023,,,4.0,,BS,MONTIRONE,IT03GWBISSAPOM_PO0171140UC023,2.0,,M,2009-09-01 00:00:00,2020-10-01,,,,1596343.0,5033180.0,596315.0,5033160.0,1.0,98.78,100.61,-1.83,55.5,1.0,22.25,31.25,POTABILE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.44532494195361,10.231613454857763,,,,,,,,,,,,,
PO0171660UC529,,,4.0,,BS,ROVATO,IT03GWBISSAPOM_PO0171660UC529,3.0,2,M,2010-02-01 00:00:00,2018-08-01,,,,1579399.0,5046613.0,579372.0,5046593.0,1.0,176.48,176.48,0.0,81.0,1.0,63.0,75.0,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.568348487008215,10.017170568792237,,,,,,,,,,,,,
PO0171960RC629,,,4.0,,BS,VEROLAVECCHIA,IT03GWBISSMPOM_PO0171960RC629,1.0,1,N,2011-02-01 00:00:00,2017-09-01,,,,1581582.0,5015456.0,581554.0,5015436.0,1.0,49.54,50.09,-0.55,65.0,1.0,62.0,65.0,ZOOTECNICO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,,,PTUA2022,45.28769065832328,10.039966321596768,,,,,,,,,,,,,
PO0130230U0003,,,1.0,,CO,BINAGO,IT03GWBISSAPTA_PO0130230U0003,3.0,2,M,2001-09-01 00:00:00,2020-12-01,,,,1492831.0,5069906.0,492805.0,5069886.0,1.0,372.084,373.384,-1.3,30.0,1.0,20.5,29.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,,,PTUA2022,45.782496602020025,8.907442131473825,,,,,,,,,,,,,
PO0130280U0009,,,1.0,,CO,BREGNANO,IT03GWBISSAPTA_PO0130280U0009,3.0,2,M,2001-09-01 00:00:00,2021-04-01,,,,1503977.0,5061937.0,503950.0,5061917.0,1.0,281.548,283.013,-1.465,96.0,1.0,71.0,86.0,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,,,PTUA2022,45.71079588069668,9.050748548918438,,,,,,,,,,,,,
PO013029NU0003,,,1.0,,CO,BRENNA,IT03GWBISSAPTA_PO013029NU0003,3.0,2,M,2001-06-01 00:00:00,2020-06-01,,,,1514944.0,5064415.0,514917.0,5064395.0,1.0,340.871,342.371,-1.5,79.0,1.0,57.0,74.0,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,,,PTUA2022,45.73295023124814,9.191725416485538,,,,,,,,,,,,,
PO0130460U0001,,,1.0,,CO,CARIMATE,IT03GWBISSAPTA_PO0130460U0001,3.0,2,M,2007-01-01 00:00:00,2020-12-01,,,,1508169.0,5061986.0,508142.0,5061966.0,1.0,250.348,253.598,-3.25,61.0,3.0,41.41,58.0,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,,,PTUA2022,45.71120030243424,9.10460700491566,,,,,,,,,,,,,
PO013064NU0002,,,1.0,,CO,CERMENATE,IT03GWBISSAPTA_PO013064NU0002,3.0,2,M,2001-09-01 00:00:00,2021-04-01,,,,1506455.0,5061527.0,506428.0,5061507.0,1.0,301.932,304.572,-2.64,110.0,1.0,98.3,102.3,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Ticino - Adda,,,PTUA2022,45.707086977440646,9.082579772156986,,,,,,,,,,,,,
