PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02
CO,CABIATE - S.E.T. srl - pozzo 1,12(17),via Buozzi,1514195,5057470,237,,X,2,,,,,,,,,,,207,207,205.95,,205.2,,,,204.6,,,,,,
CO,BINAGO - Comune - pozzo Acacie 3,13(19),via delle Acacie,1492848,5069930,373,,X,2,,,,,,,,,,361.2,,361,361,,361.82,362.44,363.98,363.86,363.04,362.84,362.44,363.19,,,
CO,OLGIATE COMASCO - Comune,20,via Repubblica,1498015,5068805,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,OLTRONA DI SAN MAMETTE - Az. Colline Comasche,14(21),Margè,1497860,5067095,373,,X,2,,,,,,,,,,310.7,,309.7,309.7,,308.47,308.3,308.32,309.85,310.17,310.2,310.07,xxx,,,
CO,CAPIAGO INTIMIANO-Az.Colline Com.-pozzo Guastone 1,15 (22),Via Roma,1510495,5068940,420,,X,2,,,,,,,,,,416.9,,418.8,418.8,,419.35,419.28,418.95,419.55,419.35,418.83,419,419.27,,,
CO,LURAGO D'ERBA - Soc. Pragma Spa,16(23),Pioppete,1518210,5067545,320,,X,2,,,,,,,,,,295.2,,295.2,295.2,,,,,,,,,,,,
CO,ROVELLO PORRO - Consorzio Lura Ambiente spa,4,Via don Ballabio,1503030,5056525,245,,,,,,,,,,190.12,,,,190.3,,,,,,,,,,,,,,
CO,ROVELLO PORRO - Cons. Lura Ambiente - pozzo 3,17(1bis),via General Porro,1503100,5055090,235,,X,3,,,,,,,,,,186.8,186.7,,,,187,,185.2,185.1,185.1,,,,,,
CO,CERMENATE - Consorzio Lura Ambiente spa,11,Via I Maggio,1505880,5060468,285,,,,,,,,,,,,,200.1,199.6,,,,,,,,,,,,,,
CO,CERMENATE - Cons. Lura ambiente - pozzo 2,18(2bis),via Petrarca,1506475,5061530,305,,X, 2/3,,,,,,,,,,216.8,217,,,,216.6,,216.6,216.8,216.7,,,,,,
CO,NOVEDRATE - Comune - pozzo 3,19(3bis),Villaggio Veneto - 1,1511046,5060448,282,,X,3,,,,,,,,,,200.48,,201.6,200.08,,207.22,206.22,203.22,201.22,207.22,207.72,201.22,199.22,,,
CO,INVERIGO - Comune,18,C.na Rocchina,1517738,5065790,322,,,,,,,,,,,,,,,292.1,291.5,,,,,,,,,,,,
CO,FIGINO SERENZA - soc. Pragma spa,4 bis,Loc Campaccio,1510815,5061625,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,MARIANO COMENSE - Pragma S.P.A,5 bis,Via S. D'Acquisto,1514310,5060568,255,,,,,,,,,,,204,,204.5,204.4,204.1,204.1,,,,,,,,,,,,
CO,MARIANO COMENSE - Pozzo 3 - Pragma S.P.A,16,Via per Novedrate,1513175,5061640,289,,,,,,,,,,257.5,,,255.4,255,255,,,,,,,,,,,,,
CO,MARIANO COMENSE -Soc. Pragma S.P.A - Trotti Grande,20,Via S. d'Acquisto,1514310,5060568,255,,X,3,,,,,,,,,,,,,,,204.4,,,,,,,,,,
CR,ANNICCO,19003.0005,via A. da Brescia,1569250.375,5010522,60,,X,2,,,,,,,,,,,46.3,46.36,46.21,,,46.09,,,,,,,,,
